Date,audience_macro,Link_to_Creative,Spend_USD
2024-07,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5668199909030255861.png,441302.3925
2024-07,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-9147211259769290841.png,440849.4596
2024-07,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-5155846353666472399.png,218866.4256
2024-07,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-5590069525949737087.png,321823.3502
2024-07,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/_8jQN5-u_EcPFTSH3ISajg.mp4,198749.3198
2024-07,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/3568537736448705445.png,188666.4324
2024-07,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-8172075211507506295.png,193323.8123
2024-07,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-7154987572903099148.png,147903.0465
2024-07,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/4607215406702680099.png,138626.2031
2024-07,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,7787.604
2024-07,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-1317440491903978423.png,6112.7925000000005
2024-07,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-4876425941376814988.png,5452.3814999999995
2024-08,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/-7236790780749988828.png,78770.2283
2024-08,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/zUf1YI-mybtXxokvEsQ4Hg.png,62456.0416
2024-08,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/IJLKbWtrjnBEAlntMP3lfw.png,60829.9152
2024-08,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/5768309717890557925.png,195647.7578
2024-08,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/3240547725944893142.png,147952.3952
2024-08,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/7rwJpLNpgfUBh5Kf5KLkhg.mp4,133954.4346
2024-08,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-5155846353666472399.png,465898.2568
2024-08,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5668199909030255861.png,344000.6245
2024-08,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/8209359850725817481.png,102556.3667
2024-08,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-1488953851984947570.png,172430.3619
2024-08,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/3568537736448705445.png,148421.6914
2024-08,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/5365606107574624572.png,96115.8844
2024-08,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-8172075211507506295.png,201270.6668
2024-08,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/4607215406702680099.png,133120.7018
2024-08,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-7154987572903099148.png,112392.6559
2024-08,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/5261628403691120056.png,18216.7643
2024-08,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/wFGJFVM7_zSSxKsJjp75EQ.jpg,5753.1977
2024-08,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/WYrjwc97E3qvEGFSg1OmLA.jpg,4577.0063
2024-09,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/8173980929977598675.png,131099.6923
2024-09,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/7025880055915782959.png,58664.587
2024-09,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/-7236790780749988828.png,56884.4884
2024-09,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/2727895697295517437.png,657824.101
2024-09,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-6051156516202674296.png,306231.4715
2024-09,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-7707496996365445141.png,187811.48249999998
2024-09,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/2926741121376111280.png,331682.939
2024-09,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5668199909030255861.png,190658.3847
2024-09,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/UI5BnN6laEyRRUBz2uGNKA.png,71677.5081
2024-09,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-1488953851984947570.png,192813.0491
2024-09,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/UyZ7sBNuZ8JUj_Saoi64ug.mp4,152577.2171
2024-09,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/5365606107574624572.png,141811.9038
2024-09,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,161123.7105
2024-09,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-6901325877862476310.png,98962.5881
2024-09,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/5773563368741634332.png,62784.437600000005
2024-09,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/w_tEl1bYBrlR_fA4ZasqAQ.mp4,9652.9561
2024-09,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-2585515114543438383.png,4107.5805
2024-09,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/5261628403691120056.png,3867.7247
2024-10,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/oIvg4HAD_qF66G-9bLp3Fg.png,78454.7167
