Date,Publisher,Link_to_Creative,Spend_USD
2024-01,X (formerly Twitter),https://s3.amazonaws.com/YM_Ads/1104504018732552172.png,30.68
2024-01,X (formerly Twitter),https://s3.amazonaws.com/YM_Ads/7255552486118023005.png,23.815
2024-01,YouTube,https://x-ad-assets.s3.amazonaws.com/media_asset/081668bbc4003162/media,576151.6176
2024-01,YouTube,https://x-ad-assets.s3.amazonaws.com/media_asset/97d6d5f8fd6b7280/media,379948.5068
2024-01,YouTube,https://x-ad-assets.s3.amazonaws.com/media_asset/4f40c99164eb1b3f/media,229229.3951
2024-01,a-z-animals.com,https://s3.amazonaws.com/YM_Ads/pZlXQIqEFWt4GdqH33WNuw.png,96.8357
2024-01,a-z-animals.com,https://s3.amazonaws.com/YM_Ads/S5GUatv2OMkHSqI5XzrYDQ.png,65.8416
2024-01,abc-7.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,0.4482
2024-01,abc11.com,https://s3.amazonaws.com/YM_Ads/a1BmxUlgNRFA8HQL2xFfCQ.png,189.223
2024-01,abc13.com,https://s3.amazonaws.com/YM_Ads/XHXS-oceIvgjHTYmNxVG7w.png,479.46619999999996
2024-01,abc27.com,https://s3.amazonaws.com/YM_Ads/uY75oJQhW-N7mZmz9uTNFw.png,73.5765
2024-01,abc27.com,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,57.0556
2024-01,abc27.com,https://s3.amazonaws.com/YM_Ads/7ZqvhvJso3mBE-cI3J8yJA.png,56.3374
2024-01,abc30.com,https://s3.amazonaws.com/YM_Ads/XHXS-oceIvgjHTYmNxVG7w.png,47.7982
2024-01,abc3340.com,https://s3.amazonaws.com/YM_Ads/6YqOWKkuaVGuoQOa1gIJXw.png,218.4204
2024-01,abc3340.com,https://s3.amazonaws.com/YM_Ads/BLpTX1EbNQ0PTW346IpUTQ.png,215.6709
2024-01,abc3340.com,https://s3.amazonaws.com/YM_Ads/8fjjJvBv2hFeBJBbkMy84A.png,211.0301
2024-01,abc7chicago.com,https://s3.amazonaws.com/YM_Ads/XHXS-oceIvgjHTYmNxVG7w.png,159.9515
2024-01,abc7ny.com,https://s3.amazonaws.com/YM_Ads/XHXS-oceIvgjHTYmNxVG7w.png,172.6965
2024-01,abc7ny.com,https://s3.amazonaws.com/YM_Ads/kjFKqW4t29fmMqt-vP_dqQ.png,116.542
2024-01,abcstlouis.com,https://s3.amazonaws.com/YM_Ads/BqZNEalopcEBoud8U1x-8w.jpg,3.0511
2024-01,accuweather.com,https://s3.amazonaws.com/YM_Ads/LEq74B4BzS3BbmhIjz9FDA.mp4,996.0477
2024-01,accuweather.com,https://s3.amazonaws.com/YM_Ads/YSYEEEDBYh86ien0_l25Qw.png,270.7241
2024-01,accuweather.com,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,76.1224
2024-01,active.com,https://s3.amazonaws.com/YM_Ads/i-wdTp9lVlWMj0h2DPU1mA.png,4195.6997
2024-01,actorsaccess.com,https://s3.amazonaws.com/YM_Ads/8fjjJvBv2hFeBJBbkMy84A.png,362.2215
2024-01,actorsaccess.com,https://s3.amazonaws.com/YM_Ads/h0jlJ1AI1ftrmeaNwmJXYA.png,309.6505
2024-01,actorsaccess.com,https://s3.amazonaws.com/YM_Ads/-PraGq6OMu9sHf6amT-XrQ.png,196.6052
2024-01,addapinch.com,https://s3.amazonaws.com/YM_Ads/gZEDj6OBy2THWOmYAv727A.jpg,8.5429
2024-01,addresses.com,https://s3.amazonaws.com/YM_Ads/TDQhw1fPW04S5XqkkIMe4w.jpg,27.7671
2024-01,adultswim.com,https://s3.amazonaws.com/YM_Ads/h9UhyioghkfYN_ks7TSOTw.png,3701.4392
2024-01,advergize.com,https://s3.amazonaws.com/YM_Ads/9p7l8vlXelmcYsQDvvWhqg.png,1.1064
2024-01,advocate.com,https://s3.amazonaws.com/YM_Ads/kejJB1JzIU3aWpml-h7lZQ.mp4,1069.0754
2024-01,advocate.com,https://s3.amazonaws.com/YM_Ads/IYMoOzS87e1uQSUyMNVbFA.mp4,717.947
2024-01,advocate.com,https://s3.amazonaws.com/YM_Ads/hvBKCOGP1hvQu1IlgvePVg.png,34.032
2024-01,afar.com,https://s3.amazonaws.com/YM_Ads/eARcUvu3nBmS7g9dGdIeRQ.png,1758.5347
2024-01,agupdate.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,1.2625
2024-01,aheadofthyme.com,https://s3.amazonaws.com/YM_Ads/z48pdhdhB6cB0MX0PnDDpg.jpg,16.7134
2024-01,aheadofthyme.com,https://s3.amazonaws.com/YM_Ads/pQE82lwnhq0YVrAHERmNgQ.jpg,14.6243
2024-01,akc.org,https://s3.amazonaws.com/YM_Ads/Ci1DGU_YNQuPOumkiBnWNg.png,1987.0554
2024-01,akc.org,https://s3.amazonaws.com/YM_Ads/7beiedp1Uof_fRyS472D8Q.png,430.1935
2024-01,akc.org,https://s3.amazonaws.com/YM_Ads/wqBHNFRgvfT1-hW3zAq5mw.png,326.0479
2024-01,al.com,https://s3.amazonaws.com/YM_Ads/Dln6ssGOY2n3zzrIBRyCNA.png,765.2883
2024-01,al.com,https://s3.amazonaws.com/YM_Ads/g7kafltZ7bvJpmCMsC-beg.png,551.8864
2024-01,algebra.com,https://s3.amazonaws.com/YM_Ads/TPAuLaJ2IfuKZblygjEmoQ.png,6.9319
2024-01,aljazeera.com,https://s3.amazonaws.com/YM_Ads/8fjjJvBv2hFeBJBbkMy84A.png,318.1773
2024-01,aljazeera.com,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,181.711
2024-01,aljazeera.com,https://s3.amazonaws.com/YM_Ads/uQdQJc9vywsoT0-xcnKE4w.png,147.51409999999998
2024-01,aljazeera.net,https://s3.amazonaws.com/YM_Ads/6YqOWKkuaVGuoQOa1gIJXw.png,355.8985
2024-01,aljazeera.net,https://s3.amazonaws.com/YM_Ads/a51FEnaJPxXOr0TcZoDcEg.png,338.2756
2024-01,aljazeera.net,https://s3.amazonaws.com/YM_Ads/s9fVSI_MbfRZmb9WdtGRGQ.png,317.3711
2024-01,all3dp.com,https://s3.amazonaws.com/YM_Ads/EDoqhT85l-y7UQ57V4vofg.png,444.8165
2024-01,all3dp.com,https://s3.amazonaws.com/YM_Ads/-deEU6GjcLySA4x8UNphtg.png,250.2762
2024-01,allbusiness.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,5.5819
2024-01,allmusic.com,https://s3.amazonaws.com/YM_Ads/VX5gDZzz2PtHRnQiX9JaOA.png,820.0451
2024-01,allmusic.com,https://s3.amazonaws.com/YM_Ads/R1pkCu90uOphOwmkoFYUig.png,416.014
2024-01,allmusic.com,https://s3.amazonaws.com/YM_Ads/7beiedp1Uof_fRyS472D8Q.png,373.6539
2024-01,allpeoplequilt.com,https://s3.amazonaws.com/YM_Ads/jNmJWoHOr9LT21zWkYfUFQ.png,15.6636
2024-01,allrecipes.com (Meredith),https://s3.amazonaws.com/YM_Ads/7beiedp1Uof_fRyS472D8Q.png,42273.3254
2024-01,allrecipes.com (Meredith),https://s3.amazonaws.com/YM_Ads/zvcb8N4uwX65b4lDuD3asg.png,14705.3858
2024-01,allrecipes.com (Meredith),https://s3.amazonaws.com/YM_Ads/KI1rVSYuuCYWmCVarukjQQ.png,10980.332
2024-01,allthebestfights.com,https://s3.amazonaws.com/YM_Ads/Gh1twTH09oZSxMFBBH1BvQ.png,3.8485
