Date,Category_Level_8,Link_to_Creative,Spend_USD
2024-03,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/7NeNONZx7mjNwhWVdvkmGw.png,3811.7521
2024-03,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/El3KN9jHQNXn1ANAGuszqg.png,3270.0565
2024-03,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/YjrYpg0YS-wn1GovCHUcwg.png,1937.5549
2024-03,Business Savings Accounts,https://s3.amazonaws.com/YM_Ads/zUf1YI-mybtXxokvEsQ4Hg.png,386.1746
2024-03,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,113994.5777
2024-03,Car Buying Services,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,102832.8473
2024-03,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,88560.2555
2024-03,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-410353697047153002.png,56108.5244
2024-03,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/6581349801135390054.png,46129.6667
2024-03,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-5986220487738758538.png,16251.0199
2024-03,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/7398379580680972426.png,100308.2754
2024-03,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/7589964286422949603.png,75868.2562
2024-03,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/-1538227019714806081.png,56146.0267
2024-03,Checking Accounts,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,242037.8846
2024-03,Checking Accounts,https://s3.amazonaws.com/YM_Ads/-7888626863881174058.png,202916.1538
2024-03,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/99c2ed5b708c5414/media,179491.0748
2024-03,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,2024553.5916
2024-03,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/2c484bc1fc2ebcff/media,1226738.4043
2024-03,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/916daa3825717d1a/media,285628.5974
2024-03,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/6c74a206a0b31394/media,1097951.9942
2024-03,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,969943.2217
2024-03,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/955fb9b9276d98cd/media,825013.2447
2024-03,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/a4odiJ1mKNeLfBvmqnaKng.mp4,30743.8383
2024-03,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/R5FlWv46q64IrnKyJqM7eQ.png,7007.8519
2024-03,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/yCxcTWd9-ZTCxw0tjbIJpg.png,2417.6059999999998
2024-03,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ZX2dDxIiLYjKQe7h_p6L5A.png,464318.1119
2024-03,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/FX6ILPQdFiUsuvm6qUq0Zw.png,134862.8699
2024-03,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ta4Oj9x0P6ZMOWdC-4t_MQ.png,108384.4148
2024-03,Credit Cards,https://s3.amazonaws.com/YM_Ads/8670013221356265806.png,26108.7006
2024-03,Credit Cards,https://s3.amazonaws.com/YM_Ads/-7091761275134699006.png,8389.4885
2024-03,Credit Cards,https://s3.amazonaws.com/YM_Ads/HHo2DafAZRycJWHvvFlIvg.png,5185.0039
2024-03,Finance Careers,https://s3.amazonaws.com/YM_Ads/cmZ4ZI_gUyJXaHIJNqyRzQ.mp4,38089.4274
2024-03,Finance Careers,https://s3.amazonaws.com/YM_Ads/T0optlpIzsQJdBXI4GseSA.mp4,5322.7402
2024-03,Finance Careers,https://s3.amazonaws.com/YM_Ads/YAYeI48FHrrcXdmX4dYjYg.mp4,3683.3629
2024-03,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/b887855fc3286fcf/media,65451.0801
2024-03,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/0f1f8016a018d382/media,53736.442500000005
2024-03,Financial Services,https://s3.amazonaws.com/YM_Ads/IWNkByDmYn0kTGVH_ek_7A.png,48498.883499999996
2024-03,Savings Accounts,https://s3.amazonaws.com/YM_Ads/645233030685019561.png,491955.4571
2024-03,Savings Accounts,https://s3.amazonaws.com/YM_Ads/-6059698801507964296.png,422358.25430000003
2024-03,Savings Accounts,https://s3.amazonaws.com/YM_Ads/8278193215417937680.png,334591.0647
2024-04,All Categories,https://x-ad-assets.s3.amazonaws.com/media_asset/f4b92465c50feaac/media,8907.6861
2024-04,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/a1156bd68bc51f06/media,850419.5408
2024-04,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/706d1ac423bb79a9/media,462158.0843
2024-04,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/48bd147cfcde6795/media,320228.7388
2024-04,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/7NeNONZx7mjNwhWVdvkmGw.png,8557.756
2024-04,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/3oV0spkdXdp106pdtNpQTw.png,1304.8809
2024-04,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/YjrYpg0YS-wn1GovCHUcwg.png,1283.9466
2024-04,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,109626.9654
2024-04,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,100069.2913
2024-04,Car Buying Services,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,97428.66159999999
2024-04,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/7235206362320175612.png,88889.6687
2024-04,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-9012771719611159846.png,87706.9171
2024-04,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-5986220487738758538.png,54497.4962
2024-04,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/7589964286422949603.png,693207.2562
2024-04,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/1859822762973519453.png,233714.9215
2024-04,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/tHAh7IBlVn6zEsdzCXMaRA.png,125400.7255
2024-04,Checking Accounts,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,244408.5795
2024-04,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/f149d9774b508bb8/media,200787.5205
2024-04,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/99c2ed5b708c5414/media,130267.67139999999
2024-04,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/80bd79e80bc40319/media,1289252.4966
2024-04,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/2c484bc1fc2ebcff/media,727378.0478000001
2024-04,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/e539913b0b10f77f/media,525586.3322
2024-04,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/37ebee1ab6d757a3/media,1005639.1366
2024-04,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,841218.713
2024-04,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/cbfb717450bc226f/media,837923.0998
2024-04,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/MlNtF9HHSoWHy0993731Sg.mp4,74036.5437
2024-04,"Corporate, Institutional, and Wholesale Banking",https://x-ad-assets.s3.amazonaws.com/media_asset/f233b289a5da98f4/media,46102.4415
2024-04,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/jL7_gmORk2Ual0j_YZoBDA.webm,38804.3275
2024-04,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ZX2dDxIiLYjKQe7h_p6L5A.png,469160.4238
2024-04,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,200702.8473
2024-04,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/FX6ILPQdFiUsuvm6qUq0Zw.png,126360.1357
2024-04,Credit Cards,https://s3.amazonaws.com/YM_Ads/8670013221356265806.png,15182.6119
2024-04,Credit Cards,https://s3.amazonaws.com/YM_Ads/HHo2DafAZRycJWHvvFlIvg.png,1586.7513
2024-04,Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/729f843b99ac9ebe/media,216.9516
2024-04,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/xIWI3lXIGvAr8ePRWHa0gw.png,552.3413
